id	name	direction	client_sends	server_sends	status	recv_impl	send_impl	evidence	tests
21	SyncItem	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/items.rs:102; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/items.rs; live re-encode check in terrustia-client/examples/conform.rs
22	ItemOwner	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/items.rs:146	round-trip unit test in terrustia-proto/src/items.rs
23	SyncNPC	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/npc.rs:77	round-trip unit test in terrustia-proto/src/npc.rs; live re-encode check in terrustia-client/examples/conform.rs
24	UnusedMeleeStrike	none	no	no	dead-slot	none	none	NetMessage.cs:768 SendData case 24 still serialises (short, byte) but zero call sites in the decompiled tree ever invoke SendData(24, ...); MessageBuffer.cs:1706 GetData case 24 is `Invariant.Assert(condition: false, "UnusedMeleeStrike")`, i.e. reaching it is treated as a bug. Confirmed dead: the name and the assert agree.	none
25	Unused25	none	no	no	deprecated	none	none	MessageID.cs: `[Old("Deprecated. Use NetTextModule instead.")]`. No SendData case in NetMessage.cs; MessageBuffer.cs:4512 groups it under a bare `break;` with 15/26/44/67/83.	none
26	Unused26	none	no	no	deprecated	none	none	MessageID.cs: `[Old("Deprecated.")]`. No SendData case in NetMessage.cs; MessageBuffer.cs:4513 groups it under a bare `break;` with 15/25/44/67/83.	none
27	SyncProjectile	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/projectile.rs:69; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/projectile.rs; live re-encode check in terrustia-client/examples/conform.rs
28	DamageNPC	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/npc.rs:243; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/npc.rs
29	KillProjectile	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/projectile.rs:178; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/projectile.rs
30	TogglePVP	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:4558; server.rs handle_packet dispatches it to a dedicated handler	none
31	RequestChestOpen	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
32	SyncChestItem	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/objects.rs:49; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/objects.rs; integration test in terrustia/tests/gameplay.rs; integration test in terrustia/tests/handshake.rs
33	SyncPlayerChest	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/objects.rs:110; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/objects.rs; integration test in terrustia/tests/gameplay.rs
34	ChestUpdates	both	yes	yes	live	dispatched	dedicated-encoder	PacketWriter::new(id::CHEST_UPDATES) at game/server/dispatch.rs:4650 and :4710; dispatched to a dedicated handler in the same file (table stale since the Lane A server.rs split)	integration test in terrustia/tests/gameplay.rs
35	PlayerHeal	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
36	SyncPlayerZone	both	yes	yes	live	dispatched	generic-relay	relayed via packets::rewrite_owner/verbatim at server.rs:4550; server.rs handle_packet dispatches it to a dedicated handler	none
37	RequestPassword	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:3934	integration test in terrustia/tests/gameplay.rs
38	SendPassword	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
39	ReleaseItemOwnership	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
40	SyncTalkNPC	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
41	ItemRotationAndAnimation	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
42	Unknown42	both	yes	yes	live	dispatched	dedicated-encoder	Drift fix: shipped as `Unknown42` in MessageID.cs, but NetMessage.cs:964 SendData case 42 writes player mana and MessageBuffer.cs:2290 GetData case 42 applies it (`Main.player[num].statMana = ...`); terrustia dispatches it to `on_mana` (server.rs, id::PLAYER_MANA) and encodes it in packets.rs:181. Was wrongly in packet_audit.py's hard-coded UNUSED set.	round-trip unit test in terrustia-proto/src/packets.rs
43	ManaEffect	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
44	Unknown44	none	no	no	deprecated	none	none	MessageID.cs: `[Old("Deprecated.")]`. No SendData case in NetMessage.cs; MessageBuffer.cs:4514 groups it under a bare `break;` with 15/25/26/67/83.	none
45	TeamChange	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:4553; server.rs handle_packet dispatches it to a dedicated handler	none
46	OpenSignRequest	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
47	OpenSignResponse	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/objects.rs:175; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/objects.rs; integration test in terrustia/tests/gameplay.rs
48	LiquidUpdate	none	no	no	deprecated	dispatched	none	MessageID.cs: `[Old("Deprecated. Use NetLiquidModule instead.")]`, but NetMessage.cs:990 and MessageBuffer.cs:2409 are both live: MessageBuffer.cs:2438 relays it server-side via `SendData(48, -1, whoAmI, ...)` when netMode == 2. terrustia dispatches it to `on_liquid` for legacy-client compatibility, but sends liquid changes via NET_MODULES (NetLiquidModule) instead of re-sending id 48, matching the game's own move to the module system.	integration test in terrustia/tests/gameplay.rs
49	InitialSpawn	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:4108	integration test in terrustia/tests/handshake.rs
50	PlayerBuffs	both	yes	yes	live	dispatched	generic-relay	relayed via packets::rewrite_owner/verbatim at server.rs:4547; server.rs handle_packet dispatches it to a dedicated handler	none
51	MiscDataSync	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server/dispatch.rs:3267, the one frame this server originates for itself (`NPC.BigMimicSpawnSmoke`, action 4, `NetMessage.cs:1013-1015`); client-originated frames are still relayed verbatim at dispatch.rs:5426; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
52	LockAndUnlock	both	yes	yes	live	dispatched	dedicated-encoder	relayed via packets::rewrite_owner/verbatim at server.rs:10229; server.rs handle_packet dispatches it to a dedicated handler; terrustia-client gained packets::lock_and_unlock 2026-09-08 so the playbot can drive the dungeon-door unlock path	integration test in terrustia/tests/gameplay.rs
53	AddNPCBuff	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:1432; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs
54	NPCBuffs	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:1447	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/gameplay.rs
55	AddPlayerBuffPvP	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:1399; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs
56	UniqueTownNPCInfoSyncRequest	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:1501; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/gameplay.rs
57	Unknown57	server->client	no	yes	live	none	dedicated-encoder	Drift fix: shipped as `Unknown57`, but NetMessage.cs:1058 SendData case 57 writes `WorldGen.tGood/tEvil/tBlood` (the world's hallow/corruption/crimson percentages the Dryad reports) and MessageBuffer.cs:2633 GetData case 57 applies them client-side (guarded `Main.netMode == 1`, so it is server->client only, never received back). terrustia sends it via `packets::world_evil_tally` (packets.rs:238-242, id::UNKNOWN57). Was wrongly in packet_audit.py's hard-coded UNUSED set.	round-trip unit test in terrustia-proto/src/packets.rs
58	InstrumentSound	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
59	HitSwitch	both	yes	yes	live	dispatched	dedicated-encoder	relayed via packets::rewrite_owner/verbatim at server.rs:10257 for a real switch/lever/pressure-plate hit; also constructed directly (PacketWriter::new(id::HIT_SWITCH), dispatch.rs on_chest_open) when a rigged chest (WorldGen.IsChestRigged, tile 467 style 4) is opened, matching Wiring.SetCurrentUser/HitSwitch, MessageBuffer.cs:1887-1893	server.rs opening_a_rigged_chest_fires_its_wiring_circuit / opening_an_ordinary_chest_does_not_touch_wiring (dispatch.rs); integration test in terrustia/tests/gameplay.rs
60	Unknown60	both	yes	yes	live	dispatched	dedicated-encoder	Drift fix: shipped as `Unknown60`, but it is `NPC_HOME` under an explicit alias in id.rs (the id a town NPC's assigned house arrives and changes on) and terrustia both dispatches it (`on_npc_home`) and encodes it (packets.rs:262). Was wrongly in packet_audit.py's hard-coded UNUSED set even though it is one of the most actively-used ids in the table.	round-trip unit test in terrustia-proto/src/packets.rs; integration test in terrustia/tests/gameplay.rs
61	SpawnBossUseLicenseStartEvent	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
62	SyncDodge	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
63	SyncTilePaintOrCoating	both	yes	yes	live	dispatched	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
64	SyncWallPaintOrCoating	both	yes	yes	live	dispatched	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet dispatches it to a dedicated handler	none
65	TeleportEntity	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:1526; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
66	Unknown66	both	yes	yes	live	dispatched	dedicated-encoder	NOT a dead slot: Projectile.cs:28951 `NetMessage.SendData(66, -1, -1, null, num389, num395)` inside `aiStyle == 52` is a real client-triggered heal-on-touch broadcast. MessageBuffer.cs:3038-3056 GetData case 66 applies the heal to `player.statLife` (only when positive, clamped to statLifeMax2) and, when `Main.netMode == 2`, relays it to other clients via `TrySendData(66, -1, whoAmI, ...)`. Implemented: packets::HealPlayer (encoder/decoder, terrustia-proto/src/packets.rs) and dispatch.rs on_heal_player (dispatched from id::UNKNOWN66), matching source exactly including the positive-only gate and the life_max clamp.	round-trip unit tests heal_player_round_trips / heal_player_rejects_a_truncated_payload (terrustia-proto/src/packets.rs); a_positive_heal_is_applied_and_relayed / a_heal_never_exceeds_the_targets_own_life_max / a_non_positive_heal_amount_is_ignored / an_out_of_range_target_does_not_panic (dispatch.rs)
67	Unknown67	none	no	no	dead-slot	none	none	NetMessage.cs has no `case 67:` in the SendData switch at all (absent, not just empty), and no call site anywhere sends it. MessageBuffer.cs:4515 groups `case 67:` with the officially-deprecated ids 15/25/26/44/83/93 under a bare `break;` with no field reads. Confirmed dead on both sides.	none
68	Unknown68	client->server	yes	no	live	dispatched	none	Drift fix: shipped as `Unknown68`; NetMessage.cs:1118 SendData case 68 writes `Main.clientUUID` and MessageBuffer.cs:3058 GetData case 68 reads and discards the string (`reader.ReadString(); break;`), matching id.rs's own existing comment. terrustia dispatches it to `on_uuid` (id::CLIENT_UUID) as part of the handshake. Was wrongly in packet_audit.py's hard-coded UNUSED set.	none
69	ChestName	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:6271; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
70	BugCatching	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
71	BugReleasing	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
72	TravelMerchantItems	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:2629	none
73	RequestTeleportationByServer	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
74	AnglerQuest	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:4492	integration test in terrustia/tests/gameplay.rs
75	AnglerQuestFinished	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
76	QuestsCountSync	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:11398; server.rs handle_packet dispatches it to a dedicated handler	none
77	TemporaryAnimation	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
78	InvasionProgressReport	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:11110	integration test in terrustia/tests/gameplay.rs
79	PlaceObject	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/packets.rs:213; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/packets.rs
80	SyncPlayerChestIndex	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/objects.rs:144 (SyncPlayerChestIndex::encode); sent from dispatch.rs on_chest_open after a successful open, broadcast to everyone but the opener, matching NetMessage.cs:1182-1185/MessageBuffer.cs:1886. recv_impl stays none: real vanilla's own receive side for this id is `if (Main.netMode == 1) {...}` (MessageBuffer.cs:2742), client-only, so a dedicated server never processes an incoming one either.	round-trip unit test sync_player_chest_index_round_trips (terrustia-proto/src/objects.rs); opening_a_chest_tells_the_other_player_via_packet_80 (dispatch.rs)
81	CombatTextInt	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
82	NetModules	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/net_module.rs:53; server.rs handle_packet dispatches it to a dedicated handler	round-trip unit test in terrustia-proto/src/net_module.rs; integration test in terrustia/tests/gameplay.rs; integration test in terrustia/tests/handshake.rs
83	Unused83	none	no	no	deprecated	none	none	MessageID.cs: `[Old("Deprecated.")]`. No SendData case in NetMessage.cs; MessageBuffer.cs:4516 groups it under a bare `break;` with 15/25/26/44/67.	none
84	PlayerStealth	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
85	QuickStackChests	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:5957; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
86	TileEntitySharing	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia-proto/src/tile_entity.rs:502	round-trip unit test in terrustia-proto/src/tile_entity.rs; integration test in terrustia/tests/gameplay.rs
87	TileEntityPlacement	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
88	ItemTweaker	server->client	no	yes	modding	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. A modding hook (ItemTweaker); not received or sent by terrustia.	none
89	ItemFrameTryPlacing	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
90	SpawnInstancedItem	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia-proto/src/items.rs:104 (SyncItem::encode_instanced, shared body with SYNC_ITEM via encode_as); server.rs handle_packet dispatches it to a dedicated handler; sent from terrustia/src/game/server/systems.rs for a per-player instanced drop	unit test in terrustia-proto/src/items.rs (the_instanced_encoding_is_the_same_payload_under_packet_90)
91	SyncEmoteBubble	both	yes	yes	live	relayed-opaque	dedicated-encoder	PacketWriter::new(id::SYNC_EMOTE_BUBBLE) at game/server/dispatch.rs:4915 (table stale since the Lane A server.rs split); recv side is still an opaque relay, only the server's own send got a dedicated encoder	none
92	SyncExtraValue	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:6123; server.rs handle_packet dispatches it to a dedicated handler	none
93	SocialHandshake	server->client	no	yes	social-host-only	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. Steam lobby/social handshake; not applicable off Steam, not received or sent by terrustia.	none
94	DevCommands	client->server	yes	no	modding	ignored	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 heuristic; the one id it actually caught client-sending). A dev/admin command channel; terrustia deliberately ignores it (see server.rs catch-all) rather than honouring arbitrary developer commands from any client.	none
95	MurderSomeoneElsesPortal	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
96	TeleportPlayerThroughPortal	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:6071; server.rs handle_packet dispatches it to a dedicated handler	none
97	AchievementMessageNPCKilled	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
98	AchievementMessageEventHappened	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
99	MinionRestTargetUpdate	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
100	TeleportNPCThroughPortal	server->client	no	yes	live	none	none	STOPPED (C1-b item 7), investigated in full rather than left as a guess. Real send site: PortalHelper.TryGoingThroughPortals (Terraria.GameContent/PortalHelper.cs:105-214), server-only (if (Main.netMode == 2)) since NPCs are server-authoritative, firing when an NPC's hitbox crosses a placed Portal Gun portal's own collision line (GetPortalEdges from the portal's position and ai[0] angle) and teleporting it to the paired portal's outing point. terrustia tracks a placed portal projectile only as an ordinary projectile (enough for on_close_portal's packet-95 removal case, which already reads its ai[1] "which" colour value) with no pairing into a linked gate (vanilla's own FoundPortals), no per-tick NPC-vs-portal collision pass, no outing-point/velocity math, and no per-portal-per-NPC cooldown -- the whole trigger this packet reports has no server-side model to report at all. A dispatch arm or encoder with nothing real behind it would be the "fake handler" this lane's own instructions explicitly rule out, so recv_impl/send_impl stay none rather than being stubbed. See id::TELEPORT_N_P_C_THROUGH_PORTAL's own doc comment (terrustia-proto/src/id.rs) for the same account.	none
101	UpdateTowerShieldStrengths	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:11071	none
102	NebulaLevelupRequest	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:6095; server.rs handle_packet dispatches it to a dedicated handler	none
103	MoonlordHorror	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:11081	none
104	ShopOverride	server->client	no	yes	live	none	none	The decompiled-tree audit (tools/packet_audit.py's NetMode==1 client-send heuristic) classifies it server-to-client only. Needs a shop-price-override model terrustia does not have yet: a genuine gap.	none
105	GemLockToggle	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
106	PoofOfSmoke	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
107	SmartTextMessage	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
108	WiredCannonShot	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
109	MassWireOperation	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
110	MassWireOperationPay	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:6229	integration test in terrustia/tests/gameplay.rs
111	ToggleParty	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
112	SpecialFX	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
113	CrystalInvasionStart	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
114	CrystalInvasionWipeAllTheThingsss	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:12772	none
115	MinionAttackTargetUpdate	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
116	CrystalInvasionSendWaitTime	server->client	no	yes	live	none	dedicated-encoder	encoder at terrustia/src/game/server.rs:6151	none
117	PlayerHurtV2	both	yes	yes	live	relayed-opaque	dedicated-encoder	encoder at terrustia-proto/src/hurt.rs:122; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	round-trip unit test in terrustia-proto/src/hurt.rs
118	PlayerDeathV2	both	yes	yes	live	relayed-opaque	dedicated-encoder	encoder at terrustia-proto/src/hurt.rs:171; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	round-trip unit test in terrustia-proto/src/hurt.rs
119	CombatTextString	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
120	Emoji	both	yes	yes	live	relayed-opaque	generic-relay	relayed via the generic verbatim-broadcast group in handle_packet; server.rs handle_packet forwards it unparsed via relay_player_packet/verbatim broadcast	none
121	TEDisplayDollDataSync	both	yes	yes	live	dispatched	generic-relay	relayed via packets::rewrite_owner/verbatim at server.rs:9788; server.rs handle_packet dispatches it to a dedicated handler	none
122	RequestTileEntityInteraction	both	yes	yes	live	dispatched	dedicated-encoder	encoder at terrustia/src/game/server.rs:3622; server.rs handle_packet dispatches it to a dedicated handler	integration test in terrustia/tests/gameplay.rs
123	WeaponsRackTryPlacing	client->server	yes	no	live	dispatched	none	server.rs handle_packet dispatches it to a dedicated handler	none
